Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
Viruses,2501,Duplodnaviria,1163,Orthornavirae,956,Uroviricota,1140,Leviviricetes,425,Norzivirales,271
Bacteria,1920,Riboviria,993,Gammaproteobacteria,310,Lenarviricota,443,Haploviricotina,142,Timlovirales,147
Archaea,142,Pseudomonadota,762,Alphaproteobacteria,288,Negarnaviricota,211,Pisoniviricetes,139,Autographiviridae,115
Eukaryota,70,Bacillota,324,Actinomycetes,210,Pisuviricota,176,Polyploviricotina,69,Picornavirales,90
,,Actinomycetota,246,Betaproteobacteria,161,Kitrinoviricota,92,Flavobacteriaceae,65,Ellioviricetes,60
