Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
,,,,,,Desulfurobacteriaceae,2,Thermostichales,1,Chlorobaculum,1
,,,,,,Tepidanaerobacteraceae,2,Trueperales,1,Prosthecochloris,1
,,,,,,Fulvivirgaceae,2,Dethiobacterales,1,Mycolicibacterium,1
,,,,,,Fervidobacteriaceae,2,Coprothermobacterales,1,Chloroflexaceae,1
,,,,,,Amoebophilaceae,2,Celerinatantimonadaceae,1,Chromobacterium,1
,,,,,,Flammeovirgaceae,2,Actinopolysporales,1,Brenneria,1
,,,,,,Owenweeksiaceae,2,Ferrovales,1,Actinomyces,1
,,,,,,Rhodothermaceae,2,Jiangellales,1,Allomuricauda,1
,,,,,,Ruaniaceae,2,Elusimicrobiales,1,Romboutsia,1
,,,,,,Chlamydiaceae,2,Caldicellulosiruptorales,1,Cruoricaptor,1
,,,,,,Prolixibacteraceae,2,Desulfarculales,1,Defluviicoccus,1
,,,,,,Sporolactobacillaceae,2,Chthonomonadales,1,Magnetococcus,1
,,,,,,Nitratiruptoraceae,2,Candidatus Cloacimonadales,1,Polycladomyces,1
,,,,,,Symbiobacteriaceae,2,Chloracidobacterium,1,Microcystaceae,1
,,,,,,Thiotrichaceae,2,Steroidobacterales,1,Sphaerochaeta,1
,,,,,,Glycomycetaceae,2,Rubrobacterales,1,Melioribacter,1
,,,,,,Tannerellaceae,2,Thermomicrobiales,1,Thauera,1
,,,,,,Halobacteroidaceae,2,Methylacidiphilales,1,Scytonema,1
,,,,,,Brucellaceae,2,Nakamurellales,1,Lentilactobacillus,1
,,,,,,Bacteroidaceae,2,Chroococcidiopsidales,1,Lysinibacillus,1
,,,,,,Ignatzschineriaceae,2,Thiohalobacterales,1,Synechocystis,1
,,,,,,Synechococcaceae,2,Desulfobaccales,1,Pontimonas,1
,,,,,,Marinilabiliaceae,2,Dehalococcoidales,1,Caloranaerobacter,1
,,,,,,Desulfomicrobiaceae,2,Christensenellales,1,Naasia,1
,,,,,,Porphyromonadaceae,2,Profftella,1,Trichormus,1
,,,,,,Hydrogenothermaceae,2,Caldisericia,1,Anabaena,1
,,,,,,Helicobacteraceae,2,Candidatus Puniceispirillales,1,Imtechella,1
,,,,,,Acidaminococcaceae,2,Haliangiales,1,Thiodictyon,1
,,,,,,Coriobacteriaceae,2,Pseudanabaenales,1,Galbibacter,1
,,,,,,Heliobacteriaceae,2,Fibrobacterales,1,Actinopolymorpha,1
,,,,,,Dethiosulfovibrionaceae,2,Brachyspirales,1,Sphingopyxis,1
,,,,,,Legionellaceae,2,Desulfurellales,1,Geitlerinema,1
,,,,,,Desulfococcaceae,2,Chrysiogenales,1,Chamaesiphon,1
,,,,,,Francisellaceae,2,Thermotomaculales,1,Vallotia,1
,,,,,,Aminobacteriaceae,2,Cercozoa,1,Komagataeibacter,1
,,,,,,Bacillariophyta,2,Cryptomonadaceae,1,Oerskovia,1
,,,,,,Metakinetoplastina,2,Eumycetozoa,1,Denitrovibrio,1
,,,,,,Maveriviricetes,2,Hemiselmidaceae,1,Pleurocapsa,1
,,,,,,Polintoviricetes,2,Geminigeraceae,1,Leptolyngbya group,1
,,,,,,Yadokarivirales,2,Trichomonadida,1,Mesotoga,1
,,,,,,Methanomethylophilaceae,1,Hexamitidae,1,Vallitalea,1
,,,,,,Cuniculiplasmataceae,1,Ciliophora,1,Gloeomargarita,1
,,,,,,Conexivisphaeraceae,1,Microsporidia,1,Ferriphaselus,1
,,,,,,Caldisphaeraceae,1,Deltavirus,1,Rubinisphaera,1
,,,,,,Candidatus Nitrosocaldaceae,1,Permutotetraviridae,1,Paucilactobacillus,1
,,,,,,Methanotrichales,1,Maize aumaivirus 1,1,Neobacillus,1
,,,,,,Candidatus Micrarchaeaceae,1,Botybirnavirus,1,Syntrophobacter,1
,,,,,,Methanopyrales,1,Panicum papanivirus 1,1,Snodgrassella,1
,,,,,,Acidilobaceae,1,Macronovirus,1,Gilliamella,1
,,,,,,Candidatus Nanohalobiaceae,1,Tobacco virtovirus 1,1,Cloacibacillus,1
,,,,,,Nanobdellaceae,1,Tobacco albetovirus 2,1,Marinomonas,1
,,,,,,Candidatus Prometheoarchaeales,1,Cocosatellite,1,Planctopirus,1
,,,,,,Candidatus Methanoliparaceae,1,Kobbarisatellite,1,Celeribacter,1
,,,,,,Methanonatronarchaeaceae,1,Coprasatellite,1,Halomicronema,1
,,,,,,Picrophilaceae,1,Sulfolobus alphaportoglobovirus 1,1,Roseiflexaceae,1
,,,,,,Thermoplasmataceae,1,Babusatellite,1,Gemmata,1
,,,,,,Methanocellales,1,Muscarsatellite,1,Pannonibacter,1
,,,,,,Fervidicoccaceae,1,Clostunsatellite,1,Octadecabacter,1
,,,,,,Ferroplasmaceae,1,Fabenesatellite,1,Kordia,1
,,,,,,Fimbriimonadaceae,1,Draflysatellite,1,Prochlorococcus,1
,,,,,,Marivirgaceae,1,Milvetsatellite,1,Fictibacillus,1
,,,,,,Chloroherpetonaceae,1,Torque teno seal virus 4,1,Sediminicoccus,1
,,,,,,Dermocarpellaceae,1,Whiflysatellite,1,Paludibacterium,1
,,,,,,Desulfallaceae,1,Polymycovirus,1,Nitrosococcus,1
,,,,,,Endozoicomonadaceae,1,Sophoyesatellite,1,Sphingomicrobium,1
,,,,,,Blastochloridaceae,1,Subclovsatellite,1,Salimicrobium,1
,,,,,,Persicobacteraceae,1,Nitmarvirus NSV1,1,Nitrosospira,1
,,,,,,Chloroflexineae,1,Salterprovirus His1,1,Acidithiobacillus,1
,,,,,,Magnetococcaceae,1,Bottigliavirus ABV,1,Piscirickettsia,1
,,,,,,Luteimicrobium,1,Daazvirus,1,Frederiksenia,1
,,,,,,Melioribacteraceae,1,Dobrovirus,1,Pseudohongiella,1
,,,,,,Merismopediaceae,1,Mivedwarsatellite,1,Bacterioplanes,1
,,,,,,Thermohalobacteraceae,1,Somasatellite,1,Pirellula,1
,,,,,,Actinopolymorphaceae,1,Gyrovirus chickenanemia,1,Salipiger,1
,,,,,,Geitlerinemataceae,1,Zetatorquevirus aotid1,1,Pediococcus,1
,,,,,,Chamaesiphonaceae,1,Gammatorquevirus homidi1,1,Finegoldia,1
,,,,,,Hyellaceae,1,Betatorquevirus homini9,1,Endolissoclinum,1
,,,,,,Gloeomargaritaceae,1,Iotatorquevirus suida1a,1,Ruminococcus,1
,,,,,,Nodosilineaceae,1,Kappatorquevirus suidak2a,1,Frischella,1
,,,,,,Roseiflexineae,1,Epsilontorquevirus calli1,1,Croceibacterium,1
,,,,,,Acidithiobacillaceae,1,Deltatorquevirus tupai1,1,Brevirhabdus,1
,,,,,,Pseudorhodoplanes,1,Alphatorquevirus homin1,1,Micrococcus,1
,,,,,,Pseudohongiellaceae,1,Aleptorquevirus lepor1,1,Dermacoccus,1
,,,,,,Kytococcaceae,1,Chitorquevirus indri1,1,Kytococcus,1
,,,,,,Aquabacterium,1,Etatorquevirus felid1,1,Keratinibaculum,1
,,,,,,Intestinimonas,1,Lambdatorquevirus phoci3,1,Isosphaera,1
,,,,,,Kiritimatiellaceae,1,Mutorquevirus equid1,1,Staphylococcus,1
,,,,,,Salinivirgaceae,1,Omegatorquevirus hominid1,1,Flaviflexus,1
,,,,,,Kineosporiaceae,1,Rhotorquevirus murid1,1,Magnetospira,1
,,,,,,Anoxybacter,1,Sigmatorquevirus otari1,1,Swingsia,1
,,,,,,Nitrospinales,1,Tettorquevirus felid6,1,Methylogaea,1
,,,,,,Thermoguttaceae,1,Thetatorquevirus canid1,1,Photobacterium,1
,,,,,,Candidatus Saccharimonadaceae,1,Wawtorquevirus crice2,1,Thermodesulfobacterium,1
,,,,,,Caldilineaceae,1,Xitorquevirus molos1,1,Mammaliicoccus,1
,,,,,,Ureaplasma,1,Whispovirus,1,Amycolatopsis,1
,,,,,,Idiomarinaceae,1,Clecrusatellite,1,Carboxydothermus,1
,,,,,,Labilitrichaceae,1,Gosmusatellite,1,Mesobacillus,1
,,,,,,Dictyoglomaceae,1,Ageyesisatellite,1,Annandia,1
,,,,,,Endomicrobiaceae,1,Colecusatellite,1,Planococcus,1
,,,,,,Oleiphilaceae,1,,,Bombilactobacillus,1
,,,,,,Candidatus Walczuchella,1,,,Isoalcanivorax,1
,,,,,,Thermotaleaceae,1,,,Streptococcus,1
,,,,,,Mesoaciditogaceae,1,,,Globicatella,1
,,,,,,Cyclonatronaceae,1,,,Salinispira,1
,,,,,,Thermosynechococcaceae,1,,,Kiritimatiella,1
,,,,,,Salinibacteraceae,1,,,Salinivirga,1
,,,,,,Bryobacteraceae,1,,,Kineococcus,1
,,,,,,Pleomorphomonadaceae,1,,,Nitrospinaceae,1
,,,,,,Caedimonadaceae,1,,,Thermogutta,1
,,,,,,Boseaceae,1,,,Saccharimonas,1
,,,,,,Lawsonellaceae,1,,,Variibacter,1
,,,,,,Turicibacteraceae,1,,,Pluralibacter,1
,,,,,,Woeseiaceae,1,,,Caldilinea,1
,,,,,,Bradymonas,1,,,Paradevosia,1
,,,,,,Novispirillaceae,1,,,Frigidibacter,1
,,,,,,Limnochordaceae,1,,,Spiribacter,1
,,,,,,Gottschalkiaceae,1,,,Gillisia,1
,,,,,,Acaryochloridaceae,1,,,Reinekea,1
,,,,,,Ichthyocystis,1,,,Leisingera,1
,,,,,,Desulfotomaculaceae,1,,,Olsenella,1
,,,,,,Wenzhouxiangellaceae,1,,,Croceicoccus,1
,,,,,,Hahellaceae,1,,,Neochlamydia,1
,,,,,,Eleftheria,1,,,Idiomarina,1
,,,,,,Candidatus Desulfofervidaceae,1,,,Richelia,1
,,,,,,Blattabacteriaceae,1,,,Lactococcus,1
,,,,,,Lentisphaeraceae,1,,,Dolichospermum,1
,,,,,,Caminicellaceae,1,,,Thermocrinis,1
,,,,,,Egicoccaceae,1,,,Leuconostoc,1
,,,,,,Egibacteraceae,1,,,Spirosoma,1
,,,,,,Chelatococcaceae,1,,,Rufibacter,1
,,,,,,Geminicoccaceae,1,,,Kroppenstedtia,1
,,,,,,Thermodesulfatatoraceae,1,,,aphid secondary symbionts,1
,,,,,,Marinifilaceae,1,,,Quatrionicoccus,1
,,,,,,Candidatus Brocadiaceae,1,,,Lancefieldella,1
,,,,,,Fluviibacteraceae,1,,,Blastococcus,1
,,,,,,Hapalosiphonaceae,1,,,Methyloceanibacter,1
,,,,,,Magnetovibrionaceae,1,,,Paludisphaera,1
,,,,,,Clostridiales Family XVI. Incertae Sedis,1,,,Vulgatibacteraceae,1
,,,,,,Cohaesibacteraceae,1,,,Labilithrix,1
,,,,,,Candidatus Promineifilaceae,1,,,Isoptericola,1
,,,,,,Immundisolibacteraceae,1,,,Geovibrio,1
,,,,,,Desulfosudaceae,1,,,Niallia,1
,,,,,,Abyssicoccaceae,1,,,Catalinimonas,1
,,,,,,Kribbellaceae,1,,,Brasilonema,1
,,,,,,Thermodesulfobiaceae,1,,,Heyndrickxia,1
,,,,,,Paludibacteraceae,1,,,Dictyoglomus,1
,,,,,,Vicinamibacteraceae,1,,,Bythopirellula,1
,,,,,,Thalassobaculaceae,1,,,Pseudosulfitobacter,1
,,,,,,Phreatobacteraceae,1,,,Bradyrhizobium,1
,,,,,,Calditrichaceae,1,,,Endomicrobium,1
,,,,,,Sporichthyaceae,1,,,Tachikawaea,1
,,,,,,Enhydrobacter,1,,,Pacificitalea,1
,,,,,,Syntrophotaleaceae,1,,,Evansella,1
,,,,,,Conexibacteraceae,1,,,Oleiphilus,1
,,,,,,Ketobacteraceae,1,,,Borrelia,1
,,,,,,Mariprofundaceae,1,,,Bacillus,1
,,,,,,Candidatus Pelagibacterales incertae sedis,1,,,Geosporobacter,1
,,,,,,Anaerohalosphaeraceae,1,,,Caminibacter,1
,,,,,,Holophagaceae,1,,,Parageobacillus,1
,,,,,,Campylobacteraceae,1,,,Cylindrospermum,1
,,,,,,Deferribacteraceae,1,,,Methylocaldum,1
,,,,,,Thiohalomonadaceae,1,,,Filifactor,1
,,,,,,Monoglobaceae,1,,,Glycocaulis,1
,,,,,,Candidatus Pelagibacteraceae,1,,,Actinacidiphila,1
,,,,,,Jatrophihabitantaceae,1,,,Chenggangzhangella,1
,,,,,,Tropherymataceae,1,,,Athalassotoga,1
,,,,,,Sphaerobacterineae,1,,,Vespertiliibacter,1
,,,,,,Tsukamurellaceae,1,,,Gynuella,1
,,,,,,Candidatus Chromulinivoraceae,1,,,Hymenobacter,1
,,,,,,Massilistercora,1,,,Youhaiella,1
,,,,,,Maliibacteriaceae,1,,,Amphibacillus,1
,,,,,,Candidatus Nanosynbacteraceae,1,,,Sediminicola,1
,,,,,,Mycoplasma,1,,,Cyclonatronum,1
,,,,,,Mycoplasmoides,1,,,Serpentinimonas,1
,,,,,,Mycoplasmopsis,1,,,Phaeomarinobacter,1
,,,,,,Mesomycoplasma,1,,,Jeotgalicoccus,1
,,,,,,Williamsoniiplasma,1,,,Geobacillus,1
,,,,,,Kordiimonadaceae,1,,,Brevibacillus,1
,,,,,,Candidatus Deianiraeaceae,1,,,Lederbergia,1
,,,,,,Spiroplasmataceae,1,,,Thermosynechococcus,1
,,,,,,Desulfatibacillaceae,1,,,Salinibacter,1
,,,,,,Salinisphaeraceae,1,,,Azospira,1
,,,,,,Capsulimonadaceae,1,,,Zhongshania,1
,,,,,,Rhabdochlamydiaceae,1,,,Novibacillus,1
,,,,,,Persicimonas,1,,,Basilea,1
,,,,,,Breoghaniaceae,1,,,Thiomicrospira,1
,,,,,,Haliscomenobacteraceae,1,,,Lentibacillus,1
,,,,,,Flexistipitaceae,1,,,Sirenicapillariaceae,1
,,,,,,Desulfomonilaceae,1,,,Paludibaculum,1
,,,,,,Akkermansiaceae,1,,,Sporosarcina,1
,,,,,,Gomontiellaceae,1,,,Carnobacterium,1
,,,,,,Ichthyobacteriaceae,1,,,Peribacillus,1
,,,,,,Mucispirillaceae,1,,,Virgibacillus,1
,,,,,,Bogoriellaceae,1,,,Hartmannibacter,1
,,,,,,Acidilutibacteraceae,1,,,Lichenicola,1
,,,,,,Ktedonosporobacteraceae,1,,,Lacinutrix,1
,,,,,,Microbulbiferaceae,1,,,Martelella,1
,,,,,,Zhaonellaceae,1,,,Sulfuricurvum,1
,,,,,,Lichenihabitantaceae,1,,,Paraclostridium,1
,,,,,,Thermoanaerobacterales Family IV. Incertae Sedis,1,,,Flavisolibacter,1
,,,,,,Terasakiellaceae,1,,,Clostridioides,1
,,,,,,Tenuifilaceae,1,,,Marinitoga,1
,,,,,,Casimicrobium,1,,,Hathewaya,1
,,,,,,Candidatus Uabimicrobiaceae,1,,,Aneurinibacillus group,1
,,,,,,Tomitella,1,,,Plantibacter,1
,,,,,,Microvenator,1,,,Coprobacter,1
,,,,,,Tepidiformaceae,1,,,Vibrio,1
,,,,,,Dongiaceae,1,,,Paeniclostridium,1
,,,,,,Flintibacter,1,,,Siccibacter,1
,,,,,,Kangiellaceae,1,,,Leadbettera,1
,,,,,,Candidatus Azoamicus,1,,,Jeotgalibacillus,1
,,,,,,Zooshikellaceae,1,,,Nucleicultrix,1
,,,,,,Puniceicoccales incertae sedis,1,,,Thermoclostridium,1
,,,,,,Xylophilus,1,,,Permianibacter,1
,,,,,,Tichowtungiaceae,1,,,Parasaccharibacter,1
,,,,,,Phototrophicaceae,1,,,Acetoanaerobium,1
,,,,,,Nordella,1,,,Clostridium,1
,,,,,,Mangrovivirgaceae,1,,,Erysipelothrix,1
,,,,,,Dissulfurispiraceae,1,,,Pseudopedobacter,1
,,,,,,Proteinivoraceae,1,,,Ruminiclostridium,1
,,,,,,Usitatibacteraceae,1,,,Thomasclavelia,1
,,,,,,Brevibacteriaceae,1,,,Moorella,1
,,,,,,Candidatus Absconditicoccus,1,,,Lacimicrobium,1
,,,,,,Hydrogenimonadaceae,1,,,Aquisalinus,1
,,,,,,Natranaerofabaceae,1,,,Bosea,1
,,,,,,Marinobacteraceae,1,,,Lawsonella,1
,,,,,,Koleobacteraceae,1,,,Berryella,1
,,,,,,Kiloniellaceae,1,,,Anaerobacillus,1
,,,,,,Candidatus Izemoplasmataceae,1,,,Conchiformibius,1
,,,,,,Kaistiaceae,1,,,Kozakia,1
,,,,,,Acidothermaceae,1,,,Barrientosiimonas,1
,,,,,,Tepidisphaeraceae,1,,,Aquitalea,1
,,,,,,Desulfolunaceae,1,,,Spirochaeta,1
,,,,,,Acanthopleuribacteraceae,1,,,Hungatella,1
,,,,,,Pengzhenrongella,1,,,Turicibacter,1
,,,,,,Malacoplasma,1,,,Arachnia,1
,,,,,,Thermodesulfovibrionaceae,1,,,Woeseia,1
,,,,,,Thermospiraceae,1,,,Nesterenkonia,1
,,,,,,Parvicellaceae,1,,,Aliiroseovarius,1
,,,,,,Methylothermaceae,1,,,Haematospirillum,1
,,,,,,Miltoncostaeaceae,1,,,Ruthenibacterium,1
,,,,,,Elioraeaceae,1,,,Blastomonas,1
,,,,,,Anaerotignaceae,1,,,Aquisediminimonas,1
,,,,,,Atribacteraceae,1,,,Cellvibrio,1
,,,,,,Anthocerotibacteraceae,1,,,Mycoavidus,1
,,,,,,Cerasicoccaceae,1,,,Limnochorda,1
,,,,,,Bacillales Family X. Incertae Sedis,1,,,Gottschalkia,1
,,,,,,Segniliparaceae,1,,,Caulobacter,1
,,,,,,Demequinaceae,1,,,Acaryochloris,1
,,,,,,Capillimicrobiaceae,1,,,Acididesulfobacillus,1
,,,,,,Oculatellaceae,1,,,Desulfotomaculum,1
,,,,,,Coleofasciculaceae,1,,,Rugosibacter,1
,,,,,,Candidatus Comchoanobacteraceae,1,,,Halobacillus,1
,,,,,,Thermosediminibacteraceae,1,,,Leifsonia,1
,,,,,,Amorphaceae,1,,,Sterolibacterium,1
,,,,,,Cellulosilyticaceae,1,,,Basfia,1
,,,,,,Paraconexibacteraceae,1,,,Pseudoleptotrichia,1
,,,,,,Sneathiellaceae,1,,,Mycobacteroides,1
,,,,,,Thermoleophilaceae,1,,,Falsihalocynthiibacter,1
,,,,,,Metamycoplasma,1,,,Wenzhouxiangella,1
,,,,,,Hepatoplasma,1,,,Treponema,1
,,,,,,Hydrogenophilaceae,1,,,Chromohalobacter,1
,,,,,,Fontisphaeraceae,1,,,Methylopumilus,1
,,,,,,Fastidiosibacteraceae,1,,,Gudongella,1
,,,,,,Reichenbachiellaceae,1,,,Hahella,1
,,,,,,Nannocystaceae,1,,,Bergeyella,1
,,,,,,Temperatibacteraceae,1,,,Lentzea,1
,,,,,,Aminithiophilaceae,1,,,Cedecea,1
,,,,,,Minwuiaceae,1,,,Leminorella,1
,,,,,,Trichocoleusaceae,1,,,Moellerella,1
,,,,,,Catenulisporaceae,1,,,Yokenella,1
,,,,,,Proteiniborus,1,,,Collimonas,1
,,,,,,Tepidimonas,1,,,Lactiplantibacillus,1
,,,,,,Deinococcaceae,1,,,Pseudohalocynthiibacter,1
,,,,,,Syntrophaceae,1,,,Roseibacterium,1
,,,,,,Halothermotrichaceae,1,,,Lacticaseibacillus,1
,,,,,,Rikenellaceae,1,,,Paenibacillus,1
,,,,,,Bartonellaceae,1,,,Amylolactobacillus,1
,,,,,,Thermostichaceae,1,,,Desulfuromonas,1
,,,,,,Gloeobacteraceae,1,,,Filomicrobium,1
,,,,,,Trueperaceae,1,,,Actibacterium,1
,,,,,,Bacillales Family XII. Incertae Sedis,1,,,Tessaracoccus,1
,,,,,,Thermovirgaceae,1,,,Thermanaeromonas,1
,,,,,,Candidatus Karelsulcia,1,,,Niveispirillum,1
,,,,,,Dethiobacteraceae,1,,,Anaeromyxobacteraceae,1
,,,,,,Psychromonadaceae,1,,,Liquorilactobacillus,1
,,,,,,Coprothermobacteraceae,1,,,Psychromicrobium,1
,,,,,,Rivulariaceae,1,,,Cnuibacter,1
,,,,,,Natranaerobiaceae,1,,,Duffyella,1
,,,,,,Corynebacteriaceae,1,,,Sulfuricaulis,1
,,,,,,Candidatus Ruthturnera,1,,,Halotia,1
,,,,,,Coraliomargaritaceae,1,,,Desulfofervidus,1
,,,,,,Celerinatantimonas,1,,,Lutibacter,1
,,,,,,Candidatus Vesicomyosocius,1,,,Ligilactobacillus,1
,,,,,,Actinopolysporaceae,1,,,Dermabacter,1
,,,,,,Ferrovaceae,1,,,Candidatus Nitrosoglobus,1
,,,,,,Litorivicinaceae,1,,,Planctomyces,1
,,,,,,Jiangellaceae,1,,,Acidiferrobacter,1
,,,,,,Elusimicrobiaceae,1,,,Citromicrobium,1
,,,,,,Thiomonas,1,,,Zophobihabitans,1
,,,,,,Jonesiaceae,1,,,Listeria,1
,,,,,,Caldicellulosiruptoraceae,1,,,Chania,1
,,,,,,Ferrimonadaceae,1,,,Petrimonas,1
,,,,,,Desulfarculaceae,1,,,Blattabacterium,1
,,,,,,Chthonomonadaceae,1,,,Cupriavidus,1
,,,,,,Desulfohalobiaceae,1,,,Renibacterium,1
,,,,,,Candidatus Cloacimonadaceae,1,,,Rouxiella,1
,,,,,,Tolypothrichaceae,1,,,Diaphorobacter,1
,,,,,,Steroidobacteraceae,1,,,Aurantiacibacter,1
,,,,,,Ilumatobacteraceae,1,,,Weissella,1
,,,,,,Calditerrivibrionaceae,1,,,Segatella,1
,,,,,,Thioalkalibacteraceae,1,,,Sellimonas,1
,,,,,,Geoalkalibacteraceae,1,,,Caldimicrobium,1
,,,,,,Rubrobacteraceae,1,,,Lentisphaera,1
,,,,,,Baekduiaceae,1,,,Arsenicicoccus,1
,,,,,,Dietziaceae,1,,,Trueperella,1
,,,,,,Thermomicrobiaceae,1,,,Caminicella,1
,,,,,,Candidatus Azobacteroides,1,,,Roseburia,1
,,,,,,Methylacidiphilaceae,1,,,Pseudoalteromonas,1
,,,,,,Nakamurellaceae,1,,,Aquibium,1
,,,,,,Acidimicrobiaceae,1,,,Egicoccus,1
,,,,,,Zymomonadaceae,1,,,Egibacter,1
,,,,,,Chroococcidiopsidaceae,1,,,Labrenzia,1
,,,,,,Desulfosarcinaceae,1,,,Sulfurifustis,1
,,,,,,Hodgkinia,1,,,Ilyobacter,1
,,,,,,Thiohalobacteraceae,1,,,Limnohabitans,1
,,,,,,Ignavibacteriaceae,1,,,Anaerolinea,1
,,,,,,Desulfobaccaceae,1,,,Herbinix,1
,,,,,,Sanguibacteraceae,1,,,Ishikawaella,1
,,,,,,Dehalococcoidaceae,1,,,Ferrigenium,1
,,,,,,Christensenellaceae,1,,,Marvinbryantia,1
,,,,,,Bruguierivoracaceae,1,,,Laribacter,1
,,,,,,Hoyosellaceae,1,,,Salinispora,1
,,,,,,Sulfurospirillaceae,1,,,Caenibius,1
,,,,,,Candidatus Babeliaceae,1,,,Anaerotruncus,1
,,,,,,Caldisericales,1,,,Thiopseudomonas,1
,,,,,,Terrihabitans,1,,,Faecalibaculum,1
,,,,,,Waddliaceae,1,,,Chelatococcus,1
,,,,,,Clostridiales Family XVII. Incertae Sedis,1,,,Methylovulum,1
,,,,,,Candidatus Puniceispirillaceae,1,,,Cellulomonas,1
,,,,,,Kofleriaceae,1,,,Pyruvatibacter,1
,,,,,,Pseudanabaenaceae,1,,,Thermanaerosceptrum,1
,,,,,,Fibrobacteraceae,1,,,Tistrella,1
,,,,,,Simkaniaceae,1,,,Aquimarina,1
,,,,,,Succinivibrionaceae,1,,,Cognatishimia,1
,,,,,,Gemellaceae,1,,,Thermodesulfatator,1
,,,,,,Magnetospirillaceae,1,,,Labilibaculum,1
,,,,,,Brachyspiraceae,1,,,Leptospira,1
,,,,,,Hippeaceae,1,,,Acetilactobacillus,1
,,,,,,Thermincolaceae,1,,,Peptoclostridium,1
,,,,,,Moritellaceae,1,,,Serpentinicella,1
,,,,,,Candidatus Paracaedibacteraceae,1,,,Gemmatimonas,1
,,,,,,Halothiobacillaceae,1,,,Oryzomicrobium,1
,,,,,,Sandaracinaceae,1,,,Pseudalgibacter,1
,,,,,,Chrysiogenaceae,1,,,Agarilytica,1
,,,,,,Fenollaria,1,,,Catenovulum,1
,,,,,,Calotrichaceae,1,,,Kuenenia,1
,,,,,,Stellaceae,1,,,Acidipropionibacterium,1
,,,,,,Bacteriovoracaceae,1,,,Kurthia,1
,,,,,,Halobacteriovoraceae,1,,,Fluviibacter,1
,,,,,,Acetomicrobiaceae,1,,,Fischerella,1
,,,,,,Thermotomaculaceae,1,,,Paraphotobacterium,1
,,,,,,Bernardetiaceae,1,,,Serinicoccus,1
,,,,,,Chlorarachniophyceae,1,,,Candidatus Viadribacter,1
,,,,,,Pucciniomycotina,1,,,Methylomagnum,1
,,,,,,Cryptomonas,1,,,Candidatus Formimonas,1
,,,,,,Dictyostelia,1,,,Euzebyella,1
,,,,,,Hemiselmis,1,,,Hydrogenophaga,1
,,,,,,Taphrinomycotina,1,,,Thalassotalea,1
,,,,,,Guillardia,1,,,Hankyongella,1
,,,,,,Trichomonadidae,1,,,Salinicola,1
,,,,,,Giardiinae,1,,,Mycobacterium,1
,,,,,,Intramacronucleata,1,,,Varunaivibrio,1
,,,,,,Unikaryonidae,1,,,Emergencia,1
,,,,,,Mouviricetes,1,,,Pseudothermotoga,1
,,,,,,Alphapermutotetravirus,1,,,Doolittlea,1
,,,,,,Amabiliviricetes,1,,,Hoaglandella,1
,,,,,,Macrobrachium satellite virus 1,1,,,Mikella,1
,,,,,,Milk vetch dwarf alphasatellite 2,1,,,Pauljensenia,1
,,,,,,Vidaverviricetes,1,,,Arcticibacterium,1
,,,,,,Faba bean necrotic yellows alphasatellite 2,1,,,Carboxydocella,1
,,,,,,Milk vetch dwarf alphasatellite 3,1,,,Wenyingzhuangia,1
,,,,,,Cladosporium cladosporioides polymycovirus 1,1,,,Frondihabitans,1
,,,,,,Cow vetch latent alphasatellite,1,,,Alicycliphilus,1
,,,,,,Faba bean necrotic yellows alphasatellite 3,1,,,Blautia,1
,,,,,,Ainoaviricetes,1,,,Acutalibacter,1
,,,,,,Daazvirus cynopis,1,,,Longicatena,1
,,,,,,Dobrovirus bufonis,1,,,Muribaculum,1
,,,,,,Milk vetch dwarf China alphasatellite,1,,,Turicimonas,1
,,,,,,Hadakaviridae,1,,,Ereboglobus,1
,,,,,,Blosnavirus,1,,,Leptospirillum,1
,,,,,,Deltabaculovirus,1,,,Fokinia,1
,,,,,,Entomobirnavirus,1,,,Flavivirga,1
,,,,,,Alphanudivirus,1,,,Microcella,1
,,,,,,Avibirnavirus,1,,,Candidatus Promineifilum,1
,,,,,,Gammabaculovirus,1,,,Methylospira,1
,,,,,,Alphabaculovirus,1,,,Herminiimonas,1
,,,,,,Gammanudivirus,1,,,Immundisolibacter,1
,,,,,,Telnavirus,1,,,Sulfuriflexus,1
,,,,,,Deltanudivirus,1,,,Peteryoungia,1
,,,,,,Betabaculovirus,1,,,Panacibacter,1
,,,,,,Aquabirnavirus,1,,,Tetrasphaera,1
,,,,,,Betanudivirus,1,,,Schaalia,1
,,,,,,Glossinavirus,1,,,Desulfosudis,1
,,,,,,Muscavirus,1,,,Marinobacterium,1
,,,,,,White spot syndrome virus,1,,,Edwardsiella,1
,,,,,,Okra yellow crinkle Cameroon alphasatellite,1,,,Agarivorans,1
,,,,,,,,,,Kribbella,1
,,,,,,,,,,Oceanobacillus,1
,,,,,,,,,,Saccharopolyspora,1
,,,,,,,,,,Maribacter,1
,,,,,,,,,,Lacunisphaera,1
,,,,,,,,,,Thermodesulfobium,1
,,,,,,,,,,Methyloversatilis,1
,,,,,,,,,,Curvibacter,1
,,,,,,,,,,Solidesulfovibrio,1
,,,,,,,,,,Pseudobutyrivibrio,1
,,,,,,,,,,Rhizorhabdus,1
,,,,,,,,,,Urechidicola,1
,,,,,,,,,,Tenacibaculum,1
,,,,,,,,,,Poseidonibacter,1
,,,,,,,,,,Limihaloglobus,1
,,,,,,,,,,Scandinavium,1
,,,,,,,,,,Saccharomonospora,1
,,,,,,,,,,Roseitalea,1
