Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
,,Fuselloviridae,2,Chlorobiia,5,Propionibacteriaceae,12,Taleaviricota,13,Kirjokansivirales,7
,,Candidatus Nanohaloarchaeota,1,Thermodesulfobacteria,5,Desulfovibrionaceae,12,Micromonosporales,12,Haloferacaceae,6
,,Nanoarchaeota,1,Acidimicrobiia,5,Miaviricetes,12,Pseudomonadales,11,Methanosarcinaceae,6
,,Asgard group,1,Petromoalphasatellitinae,5,Erythrobacteraceae,11,Methylococcales,11,Methanomicrobiaceae,6
,,Candidatus Korarchaeota,1,Archaeoglobi,3,Chroococcales,11,Eggerthellales,11,Rhizobium/Agrobacterium group,6
,,Nitrospinae/Tectomicrobia group,1,nan,3,Eggerthellaceae,11,Synergistales,10,Algavirales,6
,,Dictyoglomota,1,Thermococci,3,Phyllobacteriaceae,11,Coriobacteriales,10,Sobelivirales,6
,,Balneolota,1,Saprospiria,3,Chrymotiviricetes,11,Desulfurococcales,9,Rowavirales,6
,,Lentisphaerota,1,Rhodothermia,3,Methanomicrobiales,10,Thermoanaerobacterales,9,Vequintavirinae,6
,,Thermodesulfobiota,1,Bradymonadales,3,Halomonadaceae,10,Myxococcales,9,Pclasvirinae,6
,,Calditrichota,1,Nitriliruptoria,3,Methylococcaceae,10,Desulfobacterales,9,Rountreeviridae,6
,,Candidatus Omnitrophota,1,Anaerolineae,3,Clostridiaceae,10,Streptosporangiales,9,Ruthgordonvirinae,6
,,Candidatus Bipolaricaulota,1,Oligoflexia,3,Cystobacterineae,9,Terriglobales,8,Gracegardnervirinae,6
,,Candidatus Chazhemtobacteraceae,1,Holophagae,3,Erysipelotrichaceae,9,Vibrionales,8,Halobacteriaceae,5
,,Candidatus Absconditabacteria,1,Bdellovibrionia,3,Yersiniaceae,9,Fusobacteriales,8,Telluria group,5
,,Atribacterota,1,Kolmioviridae,3,Xanthomonadaceae,9,Desulfobulbales,8,Blubervirales,5
,,Coprothermobacterota,1,Trapavirae,3,Acidobacteriaceae,8,Basidiomycota,8,Kalamavirales,5
,,Candidatus Cloacimonadota,1,Helvetiavirae,3,Ectothiorhodospiraceae,8,Sulfolobales,7,Stanwilliamsviridae,5
,,Caldisericota/Cryosericota group,1,Chloroflexia,2,Spirosomataceae,8,Halanaerobiales,7,Cryppavirales,5
,,Fibrobacterota,1,Ignavibacteria,2,Peptostreptococcaceae,8,Aquificales,7,Gclasvirinae,5
,,Chrysiogenota,1,Syntrophobacteria,2,Oscillatoriales,8,Kitasatosporales,7,Amarillovirales,5
,,Amoebozoa,1,Candidatus Saccharimonadia,2,Piscirickettsiaceae,8,Sphingobacteriales,7,Methanobacteriaceae,4
,,Guttaviridae,1,Gemmatimonadetes,2,Vibrionaceae,8,Aeromonadales,7,Roseateles,4
,,Spiraviridae,1,Nitrospiria,2,Thermoanaerobacteraceae,8,Apicomplexa,7,Aphanothecaceae,4
,,Pandoravirus,1,Dehalococcoidia,2,Planococcaceae,8,Phixviricota,7,Archangiaceae,4
,,Pithoviruses,1,Thermomicrobia,2,Atopobiaceae,8,Gemmatales,6,Coccidia,4
,,Ovaliviridae,1,Candidatus Babeliae,2,Pseudomonadaceae,8,Synechococcales,6,Dolichocephalovirinae,4
,,Portogloboviridae,1,Thermodesulfovibrionia,2,Cellvibrionaceae,8,Deferribacterales,6,Queuovirinae,4
,,Thaspiviridae,1,Bacteriovoracia,2,Erwiniaceae,8,Parachlamydiales,6,Ounavirinae,4
,,Halspiviridae,1,Stramenopiles,2,Chitinibacteraceae,8,Polyangiales,6,Gochnauervirinae,4
,,Globuloviridae,1,Cryptomonadales,2,Rhodanobacteraceae,8,Holosporales,6,Imitervirales,4
,,Ampullaviridae,1,Euglenozoa,2,Nocardioidaceae,8,Selenomonadales,6,Tybeckvirinae,4
,,Bicaudaviridae,1,Nitrosotenuis,1,Sulfolobaceae,7,Acholeplasmatales,6,Guelinviridae,4
,,Plasmaviridae,1,Conexivisphaeria,1,Peptoniphilaceae,7,Methanobacteria,5,Rohanvirales,4
,,Dinodnavirus,1,Nitrosotalea,1,Streptomycetaceae,7,Methanococci,5,Baphyvirales,4
,,Clavaviridae,1,Candidatus Mancarchaeum,1,Sphingobacteriaceae,7,Petrotogales,5,Zymobacter group,3
,,,,Candidatus Micrarchaeia,1,Peptococcaceae,7,Chlorobiales,5,Oscillatoriaceae,3
,,,,Candidatus Nanohalobia,1,Morganellaceae,7,Opitutales,5,Microcoleaceae,3
,,,,Nanobdellia,1,Xanthobacteraceae,7,Leptolyngbyales,5,Chryseobacterium group,3
,,,,Candidatus Lokiarchaeota,1,Malgrandaviricetes,7,Isosphaerales,5,Myxococcaceae,3
,,,,Candidatus Methanoliparia,1,Desulfurococcaceae,6,Thermodesulfobacteriales,5,Rickettsieae,3
,,,,Methanonatronarchaeia,1,Methanosarcinales,6,Caulobacterales,5,Dothideomycetes,3
,,,,DHVE2 group,1,Cyclobacteriaceae,6,Marinilabiliales,5,Agaricomycetes,3
,,,,Korarchaeum,1,Hyphomicrobiaceae,6,Thermales,5,Eurotiomycetes,3
,,,,Fimbriimonadia,1,Nitrobacteraceae,6,Geobacterales,5,Nodamuvirales,3
,,,,Acidithiobacillia,1,Gemmataceae,6,Verrucomicrobiales,5,Guernseyvirinae,3
,,,,Kiritimatiellia,1,Thermoactinomycetaceae,6,Legionellales,5,Sepvirinae,3
,,,,Nitrospinota,1,Zoogloeaceae,6,Cardiobacteriales,5,Nymbaxtervirinae,3
,,,,Caldilineae,1,Nostocaceae,6,Acidimicrobiales,5,Duneviridae,3
,,,,Dictyoglomia,1,Gallionellaceae,6,Birnaviridae,5,Langleyhallvirinae,3
,,,,Endomicrobiia,1,Staphylococcaceae,6,Thermoproteales,4,Azeevirinae,3
,,,,Balneolia,1,Spirochaetaceae,6,Thermoplasmatales,4,Haloruvirales,3
,,,,Limnochordia,1,Lacipirellulaceae,6,Nautiliales,4,Deejayvirinae,3
,,,,Candidatus Desulfofervidia,1,Paenibacillaceae,6,Maricaulales,4,Halopanivirales,3
,,,,Lentisphaeria,1,Carnobacteriaceae,6,Desulfuromonadales,4,Beephvirinae,3
,,,,Thermobaculum,1,Sterolibacteriaceae,6,Thermotogales,4,Pachyviridae,3
,,,,Spartobacteria,1,Methylophilaceae,6,Solirubrobacterales,4,Orlajensenviridae,3
,,,,Candidatus Brocadiia,1,Intrasporangiaceae,6,Entomoplasmatales,4,Assiduviridae,3
,,,,Dissulfurimicrobium,1,Aeromonadaceae,6,Bifidobacteriales,4,Rivendellvirales,3
,,,,Ardenticatenia,1,Acholeplasmataceae,6,Moraxellales,4,Gordonclarkvirinae,3
,,,,Thermodesulfobiia,1,Methanobacteriales,5,Baculoviridae,4,Methanococcaceae,2
,,,,Vicinamibacteria,1,Methanococcales,5,Nudiviridae,4,Halococcaceae,2
,,,,Ndongobacter,1,Petrotogaceae,5,Archaeoglobales,3,Methanocaldococcaceae,2
,,,,Calditrichia,1,Mycobacteriaceae,5,Methanomassiliicoccales,3,Haladaptataceae,2
,,,,Zetaproteobacteria,1,Opitutaceae,5,Nitrosopumilales,3,Natronoarchaeaceae,2
,,,,Velamenicoccus,1,Pectobacteriaceae,5,Thermococcales,3,Methanoregulaceae,2
,,,,Bipolaricaulis,1,Rhodospirillaceae,5,Saprospirales,3,ant endosymbionts,2
,,,,Armatimonadia,1,Aphanizomenonaceae,5,Frankiales,3,Sinorhizobium/Ensifer group,2
,,,,Desulfomonilia,1,Chromobacteriaceae,5,Orbales,3,Chlorobium/Pelodictyon group,2
,,,,Ktedonobacteria,1,Cellulomonadaceae,5,Mycoplasmoidaceae,3,Erythrobacter/Porphyrobacter group,2
